requirement_ref,decision_refs,model_or_schema_refs,tool_contract_refs,migration_refs,service_refs,test_refs,acceptance_refs,operational_verification_refs,status
ONT-REQ-0079,,PreferencePrecedence,ONT-TOOL-0012|ONT-TOOL-0015,migrations/versions/0031_typed_registry.py,src/docket/services/policies.py,tests/integration/test_preferences_and_lanes.py::test_lane_routing_precedence_distinguishes_exact_triage_and_broad_policy,ONT-ACC-0013,,implemented_verified
ONT-REQ-0080,,HistoricalBehaviorSignal,ONT-TOOL-0012,migrations/versions/0031_typed_registry.py,src/docket/services/policies.py,tests/integration/test_preferences_and_lanes.py::test_lane_precedent_requires_three_latest_consistent_operator_decisions,ONT-ACC-0037,,implemented_verified
ONT-REQ-0081,,Preference.target_identity_ref|Preference.policy_json|sender_identity_emails,ONT-TOOL-0007|ONT-TOOL-0011|ONT-TOOL-0014,migrations/versions/0031_typed_registry.py|migrations/versions/0039_sender_identity_emails.py,src/docket/services/policies.py|src/docket/services/registry.py|src/docket/services/source_identities.py,tests/integration/test_preferences_and_lanes.py::test_ignore_unknown_sender_and_create_lane_route_commit_in_one_changeset|tests/integration/test_preferences_and_lanes.py::test_sender_label_groups_exact_emails_and_owns_suppression_policy|tests/integration/test_preferences_and_lanes.py::test_existing_label_and_inert_preference_are_corrected_atomically|tests/integration/test_attention_intelligence.py::test_noise_is_suppressed_without_case_or_projection,ONT-ACC-0009,,implemented_verified
ONT-REQ-0082,ONT-DEC-0004|ONT-DEC-0020,AttentionCaseProjectionSchedule,,migrations/versions/0032_attention_intelligence.py,src/docket/services/intelligence.py|src/docket/services/discord_projection.py,tests/integration/test_attention_intelligence.py::test_unknown_sender_meeting_admits_case_for_event_not_identity,ONT-ACC-0015,,implemented_verified
ONT-REQ-0083,ONT-DEC-0004|ONT-DEC-0020,AttentionCaseProjectionSchedule,,migrations/versions/0032_attention_intelligence.py,src/docket/services/intelligence.py|src/docket/services/briefs.py,tests/integration/test_daily_briefs.py::test_overnight_cases_publish_once_in_replyable_morning_brief,ONT-ACC-0014,,implemented_verified
ONT-REQ-0084,ONT-DEC-0004|ONT-DEC-0020,DailyBriefInterval,,migrations/versions/0032_attention_intelligence.py,src/docket/services/briefs.py,tests/integration/test_daily_briefs.py::test_overnight_cases_publish_once_in_replyable_morning_brief,ONT-ACC-0014,,implemented_verified
ONT-REQ-0085,ONT-DEC-0004|ONT-DEC-0020,DailyBriefInterval,,migrations/versions/0032_attention_intelligence.py,src/docket/services/briefs.py,tests/integration/test_attention_intelligence.py::test_unknown_sender_meeting_admits_case_for_event_not_identity,ONT-ACC-0015,,implemented_verified
ONT-REQ-0086,ONT-DEC-0020,daily_briefs|daily_brief_items,ONT-TOOL-0010,migrations/versions/0032_attention_intelligence.py,src/docket/services/briefs.py|src/docket/services/intent_sessions.py,tests/integration/test_daily_briefs.py::test_overnight_cases_publish_once_in_replyable_morning_brief,ONT-ACC-0016,,implemented_verified
ONT-REQ-0087,ONT-DEC-0012,InteractiveToolContract|TriageToolContract,interactive.profile_contract|triage.profile_contract,scripts/generate-tool-contracts.py,src/docket/tool_contracts.py|hermes/plugin/docket_discord/__init__.py,tests/integration/test_mcp_contract.py::test_generated_tool_contracts_have_exact_profile_parity_and_hashes,ONT-ACC-0022,,implemented_verified
ONT-REQ-0088,ONT-DEC-0012,ToolContractEntry,interactive.profile_contract|triage.profile_contract,scripts/generate-tool-contracts.py,src/docket/tool_contracts.py,tests/integration/test_mcp_contract.py::test_generated_tool_contracts_have_exact_profile_parity_and_hashes,ONT-ACC-0022,,implemented_verified
ONT-REQ-0089,ONT-DEC-0012,ToolSchemaAuthority|ToolContractAuthority,interactive.profile_contract|triage.profile_contract,scripts/generate-tool-contracts.py,src/docket/tool_contracts.py,tests/integration/test_mcp_contract.py::test_interactive_profile_exposes_only_reads_and_changeset_authority|tests/integration/test_mcp_contract.py::test_triage_profile_is_exact_and_non_authoritative,ONT-ACC-0022,,implemented_verified
ONT-REQ-0090,ONT-DEC-0012,SessionContractBinding,interactive.profile_contract|triage.profile_contract,scripts/generate-tool-contracts.py,hermes/plugin/docket_discord/__init__.py,tests/adversarial/test_plugin_actor_gate.py::test_docket_mcp_hooks_emit_only_bounded_trace_metadata|tests/integration/test_mcp_contract.py::test_generated_tool_contracts_have_exact_profile_parity_and_hashes,ONT-ACC-0022,ONT-OPS-CONTRACT-TRACE-0001,implemented_verified
ONT-REQ-0091,ONT-DEC-0012,ContractTrace,interactive.profile_contract|triage.profile_contract,scripts/generate-tool-contracts.py,hermes/plugin/docket_discord/__init__.py|src/docket/mcp/instrumented.py,tests/adversarial/test_plugin_actor_gate.py::test_docket_mcp_hooks_emit_only_bounded_trace_metadata|tests/integration/test_mcp_traces.py::test_mcp_trace_reconciles_qualified_tool_lifecycle,ONT-ACC-0022,ONT-OPS-CONTRACT-TRACE-0001,implemented_verified
ONT-REQ-0092,ONT-DEC-0012|ONT-DEC-0019,ToolExposureMatrix,interactive.profile_contract|triage.profile_contract,scripts/generate-tool-contracts.py,src/docket/tool_contracts.py|tests/integration/test_mcp_contract.py,tests/integration/test_mcp_contract.py::test_interactive_profile_exposes_only_reads_and_changeset_authority|tests/integration/test_mcp_contract.py::test_triage_profile_is_exact_and_non_authoritative|tests/integration/test_mcp_contract.py::test_generated_tool_contracts_have_exact_profile_parity_and_hashes,ONT-ACC-0022,,implemented_verified
ONT-REQ-0093,ONT-DEC-0005,ActiveAuthorityPrompt,interactive.profile_contract,migrations/versions/0030_authority_model.py,hermes/plugin/docket_discord/__init__.py,tests/adversarial/test_plugin_actor_gate.py::test_docket_mcp_hooks_emit_only_bounded_trace_metadata|tests/unit/test_hermes_skill_contract.py::test_manual_skill_uses_ledger_authority_without_redundant_approval,ONT-ACC-0038,,implemented_verified
ONT-REQ-0094,ONT-DEC-0005,ActiveAuthorityPrompt,interactive.profile_contract,migrations/versions/0030_authority_model.py,hermes/plugin/docket_discord/__init__.py,tests/adversarial/test_plugin_actor_gate.py::test_docket_mcp_hooks_emit_only_bounded_trace_metadata|tests/integration/test_mcp_contract.py::test_generated_tool_contracts_have_exact_profile_parity_and_hashes,ONT-ACC-0022,ONT-OPS-CONTRACT-TRACE-0001,implemented_verified
ONT-REQ-0095,ONT-DEC-0006|ONT-DEC-0019,CompactToolEnvelope,interactive.profile_contract|triage.profile_contract,scripts/generate-tool-contracts.py,src/docket/mcp/instrumented.py,tests/integration/test_mcp_output_envelope.py::test_mcp_boundary_minifies_null_omits_and_byte_bounds_default_lists|tests/integration/test_mcp_output_envelope.py::test_retained_provider_reads_chain_through_public_refs_without_uuid_leak|tests/integration/test_history.py::test_exact_history_lookup_and_conversation_reconstruction_are_public_and_bounded,ONT-ACC-0023,,implemented_verified
ONT-REQ-0096,ONT-DEC-0006|ONT-DEC-0019,PagedToolEnvelope,interactive.profile_contract|triage.profile_contract,scripts/generate-tool-contracts.py,src/docket/mcp/instrumented.py|src/docket/mcp/server.py,tests/integration/test_mcp_output_envelope.py::test_mcp_boundary_minifies_null_omits_and_byte_bounds_default_lists|tests/integration/test_mcp_output_envelope.py::test_retained_provider_reads_chain_through_public_refs_without_uuid_leak|tests/integration/test_history.py::test_history_search_filters_paginates_and_stays_under_utf8_budget,ONT-ACC-0023,,implemented_verified
ONT-REQ-0097,ONT-DEC-0019,ToolPayloadBudget,interactive.profile_contract|triage.profile_contract,scripts/generate-tool-contracts.py,src/docket/mcp/instrumented.py,tests/integration/test_mcp_output_envelope.py::test_mcp_boundary_minifies_null_omits_and_byte_bounds_default_lists|tests/integration/test_mcp_output_envelope.py::test_explicit_audit_view_uses_64_kib_utf8_budget_and_self_truncates,ONT-ACC-0023,,implemented_verified
ONT-REQ-0098,ONT-DEC-0006|ONT-DEC-0019,ToolView,ONT-TOOL-0006|ONT-TOOL-0007,scripts/generate-tool-contracts.py,src/docket/mcp/instrumented.py|src/docket/services/history.py,tests/integration/test_history.py::test_exact_history_lookup_and_conversation_reconstruction_are_public_and_bounded|tests/integration/test_mcp_output_envelope.py::test_explicit_audit_view_uses_64_kib_utf8_budget_and_self_truncates,ONT-ACC-0023,,implemented_verified
ONT-REQ-0099,,DiscordProjection,,migrations/versions/0032_attention_intelligence.py,src/docket/services/discord_projection.py,tests/adversarial/test_plugin_actor_gate.py::test_agent_response_persistence_failure_blocks_discord_delivery|tests/integration/test_attention_intelligence.py::test_unknown_sender_meeting_admits_case_for_event_not_identity,ONT-ACC-0025,,implemented_verified
ONT-REQ-0100,,ProjectionBinding,,migrations/versions/0032_attention_intelligence.py|migrations/versions/0035_agent_turn_response_linkage.py,src/docket/services/discord_projection.py|src/docket/services/provenance.py,tests/adversarial/test_plugin_actor_gate.py::test_agent_response_persistence_failure_blocks_discord_delivery|tests/integration/test_authority_model.py::test_intent_session_and_turn_survive_as_durable_exact_state|tests/integration/test_attention_intelligence.py::test_unknown_sender_meeting_admits_case_for_event_not_identity|tests/adversarial/test_plugin_actor_gate.py::test_projection_reply_binding_is_injected_as_trusted_context,ONT-ACC-0025,,implemented_verified
ONT-REQ-0101,,outbox_events|discord_projections,,migrations/versions/0032_attention_intelligence.py,src/docket/services/discord_projection.py,tests/integration/test_daily_briefs.py::test_overnight_cases_publish_once_in_replyable_morning_brief|tests/adversarial/test_plugin_actor_gate.py::test_agent_response_persistence_failure_blocks_discord_delivery,ONT-ACC-0025,ONT-OPS-DISCORD-OUTAGE-0001,implemented_verified
ONT-REQ-0102,,interactions,ONT-TOOL-0002|ONT-TOOL-0003,migrations/versions/0031_typed_registry.py,src/docket/services/registry.py,tests/integration/test_typed_registry.py::test_rich_registry_graph_commits_atomically_with_create_references,ONT-ACC-0039,,implemented_verified
ONT-REQ-0103,,InteractionCreationPolicy,,migrations/versions/0031_typed_registry.py,src/docket/services/registry.py,tests/integration/test_canonical_event_changesets.py::test_rich_event_changeset_commits_event_route_and_provider_intents_without_approval,ONT-ACC-0039,,implemented_verified
ONT-REQ-0104,,DailyBriefContextClaim,,migrations/versions/0032_attention_intelligence.py,src/docket/services/briefs.py,tests/integration/test_attention_intelligence.py::test_unknown_sender_meeting_admits_case_for_event_not_identity|tests/integration/test_typed_registry.py::test_rich_registry_graph_commits_atomically_with_create_references,ONT-ACC-0039,,implemented_verified
ONT-REQ-0105,,SourceRetentionPolicy,triage.context_get,migrations/versions/0028_provenance_bootstrap.py|migrations/versions/0029_runtime_provenance_inspection.py,src/docket/services/retention.py,tests/integration/test_gmail_ingestion.py::test_paginated_scan_advances_checkpoint_without_duplicate_sources,ONT-ACC-0040,ONT-OPS-RETENTION-INSPECTION-0001,implemented_verified
ONT-REQ-0106,,OperatorUtteranceRetentionPolicy,,migrations/versions/0028_provenance_bootstrap.py|migrations/versions/0029_runtime_provenance_inspection.py,src/docket/services/retention.py|src/docket/services/provenance.py,tests/integration/test_gmail_ingestion.py::test_paginated_scan_advances_checkpoint_without_duplicate_sources,ONT-ACC-0040,ONT-OPS-RETENTION-INSPECTION-0001,implemented_verified
ONT-REQ-0107,,ToolInvocationRetentionPolicy,interactive.tool_boundary|triage.tool_boundary,migrations/versions/0028_provenance_bootstrap.py|migrations/versions/0029_runtime_provenance_inspection.py,src/docket/mcp/instrumented.py|src/docket/services/retention.py,tests/adversarial/test_plugin_actor_gate.py::test_docket_mcp_hooks_emit_only_bounded_trace_metadata|tests/integration/test_gmail_ingestion.py::test_paginated_scan_advances_checkpoint_without_duplicate_sources,ONT-ACC-0026|ONT-ACC-0040,ONT-OPS-RETENTION-INSPECTION-0001,implemented_verified
ONT-REQ-0108,,OperationBundle|Operation|ExecutionAttempt,ONT-TOOL-0007,migrations/versions/0030_authority_model.py,src/docket/services/operations.py,tests/integration/test_canonical_event_changesets.py::test_uncertain_provider_failure_does_not_roll_back_committed_event,ONT-ACC-0019,,implemented_verified
ONT-REQ-0109,,Operation.originating_changeset_ref|Operation.basis_refs|Operation.provenance_status,ONT-TOOL-0007,migrations/versions/0030_authority_model.py|migrations/versions/0036_operation_provenance_status.py,src/docket/services/operations.py|src/docket/services/provider_intents.py,tests/integration/test_canonical_event_changesets.py::test_rich_event_changeset_commits_event_route_and_provider_intents_without_approval,ONT-ACC-0003,,implemented_verified
ONT-REQ-0110,,ExecutionAttempt|Reconciliation,ONT-TOOL-0007,migrations/versions/0030_authority_model.py,src/docket/services/operations.py,tests/integration/test_canonical_event_changesets.py::test_uncertain_provider_failure_does_not_roll_back_committed_event,ONT-ACC-0019,ONT-OPS-RECONCILIATION-DRILL-0001,implemented_verified
ONT-REQ-0111,,TraceabilityRow,,tests/integration/test_ontology_traceability.py,tests/integration/test_ontology_traceability.py,tests/integration/test_ontology_traceability.py::test_every_normative_requirement_is_implemented_and_verification_mapped,ONT-ACC-0041,,implemented_verified
ONT-REQ-0112,,TraceabilityRow.acceptance_refs,,tests/integration/test_ontology_traceability.py,tests/integration/test_ontology_traceability.py,tests/integration/test_ontology_traceability.py::test_externally_visible_requirements_have_acceptance_coverage,ONT-ACC-0041,,implemented_verified
